,NR,WR,SR,ER,NER,TOTAL
2014-01-01,738,843,727,289,33,2630
2014-01-02,766,871,739,287,32,2694
2014-01-03,805,875,754,286,32,2753
2014-01-04,791,883,747,307,33,2760
2014-01-05,758,852,719,291,31,2651
2014-01-06,780,863,746,294,34,2717
2014-01-07,786,870,764,292,34,2747
2014-01-08,810,886,768,293,33,2791
2014-01-09,791,891,764,296,33,2775
2014-01-10,805,884,766,300,33,2789
2014-01-11,800,867,760,291,34,2751
2014-01-12,785,860,742,286,34,2707
2014-01-13,791,876,764,299,33,2763
2014-01-14,799,835,730,299,33,2696
2014-01-15,804,842,703,299,32,2679
2014-01-16,807,861,723,298,33,2723
2014-01-17,800,859,754,295,33,2741
2014-01-18,716,841,764,294,33,2648
2014-01-19,753,840,742,286,32,2653
2014-01-20,768,865,759,290,32,2714
2014-01-21,739,843,760,297,31,2669
2014-01-22,719,821,766,297,31,2634
2014-01-23,691,827,769,295,32,2613
2014-01-24,744,810,779,298,32,2662
2014-01-25,735,814,773,297,33,2652
2014-01-26,717,772,733,288,33,2542
2014-01-27,734,816,752,288,32,2622
2014-01-28,767,840,768,300,32,2707
2014-01-29,771,848,768,300,30,2716
2014-01-30,764,860,760,303,31,2718
2014-01-31,773,861,763,297,32,2725
2014-02-01,771,864,768,298,28,2729
2014-02-02,741,847,746,292,29,2656
2014-02-03,750,876,761,300,30,2717
2014-02-04,770,891,774,302,30,2767
2014-02-05,763,943,767,293,29,2795
2014-02-06,759,913,769,297,32,2771
2014-02-07,741,909,770,296,33,2749
2014-02-08,750,910,778,292,32,2761
2014-02-09,740,883,747,286,31,2687
2014-02-10,762,898,770,297,31,2758
2014-02-11,783,899,782,297,32,2794
2014-02-12,796,902,786,300,32,2816
2014-02-13,802,892,798,297,32,2820
2014-02-14,747,870,799,294,34,2743
2014-02-15,742,852,791,282,34,2701
2014-02-16,748,824,755,270,32,2628
2014-02-17,767,857,773,279,29,2705
2014-02-18,777,874,778,285,31,2745
2014-02-19,784,883,779,287,30,2763
2014-02-20,781,899,781,289,31,2780
2014-02-21,769,893,789,296,33,2779
2014-02-22,746,873,797,295,31,2742
2014-02-23,736,840,767,288,32,2662
2014-02-24,761,846,788,291,32,2718
2014-02-25,766,831,787,294,32,2710
2014-02-26,768,811,779,299,33,2691
2014-02-27,745,785,777,300,32,2639
2014-02-28,773,861,763,297,32,2725
2014-03-01,688,775,761,290,28,2542
2014-03-02,681,762,745,294,28,2511
2014-03-03,708,801,750,291,29,2578
2014-03-04,723,790,748,287,29,2577
2014-03-05,729,811,768,285,31,2623
2014-03-06,731,814,765,296,31,2638
2014-03-07,741,821,765,299,32,2658
2014-03-08,737,822,751,299,30,2640
2014-03-09,741,790,727,289,30,2577
2014-03-10,694,818,760,304,30,2605
2014-03-11,665,830,776,310,32,2613
2014-03-12,681,842,778,311,33,2645
2014-03-13,725,846,792,315,32,2710
2014-03-14,748,849,800,322,32,2751
2014-03-15,756,872,803,322,30,2783
2014-03-16,753,843,782,304,27,2709
2014-03-17,698,763,794,301,28,2584
2014-03-18,677,837,798,310,32,2653
2014-03-19,751,894,798,319,27,2789
2014-03-20,766,909,793,322,29,2818
2014-03-21,773,887,795,323,31,2809
2014-03-22,779,894,822,326,32,2853
2014-03-23,752,889,818,311,30,2800
2014-03-24,689,919,832,313,32,2786
2014-03-25,713,921,840,315,32,2822
2014-03-26,761,930,845,333,32,2902
2014-03-27,743,938,834,343,32,2890
2014-03-28,728,939,824,341,33,2865
2014-03-29,731,941,822,334,33,2861
2014-03-30,714,915,808,333,32,2802
2014-03-31,741,928,823,335,33,2860
2014-04-01,748,927,831,336,32,2874
2014-04-02,751,928,828,339,31,2877
2014-04-03,743,950,829,352,31,2905
2014-04-04,764,951,825,343,28,2911
2014-04-05,758,960,801,335,31,2885
2014-04-06,738,938,787,331,33,2826
2014-04-07,724,963,816,345,32,2880
2014-04-08,748,962,812,351,29,2902
2014-04-09,748,956,813,350,29,2896
2014-04-10,749,963,784,345,32,2872
2014-04-11,755,956,807,351,32,2900
2014-04-12,757,946,800,349,31,2884
2014-04-13,709,922,773,334,32,2769
2014-04-14,736,941,785,339,32,2832
2014-04-15,786,956,785,345,31,2903
2014-04-16,762,960,798,347,31,2898
2014-04-17,738,959,804,351,31,2884
2014-04-18,663,934,787,339,32,2755
2014-04-19,693,933,785,348,31,2791
2014-04-20,699,890,751,338,33,2710
2014-04-21,739,911,789,343,33,2816
2014-04-22,760,937,809,353,35,2893
2014-04-23,770,954,809,353,36,2921
2014-04-24,789,956,782,357,34,2918
2014-04-25,801,976,804,361,33,2975
2014-04-26,809,981,800,367,31,2989
2014-04-27,805,966,764,351,33,2919
2014-04-28,827,994,788,348,29,2985
2014-04-29,848,1001,794,351,31,3024
2014-04-30,858,965,783,357,31,2994
2014-05-01,875,934,753,340,31,2934
2014-05-02,861,939,759,315,30,2904
2014-05-03,846,961,760,288,30,2886
2014-05-04,840,929,741,282,30,2821
2014-05-05,833,960,746,290,30,2859
2014-05-06,878,966,748,316,31,2940
2014-05-07,901,961,697,322,26,2907
2014-05-08,847,960,666,330,27,2830
2014-05-09,860,949,655,331,29,2825
2014-05-10,852,942,685,322,31,2832
2014-05-11,827,911,688,317,31,2774
2014-05-12,828,944,730,334,30,2866
2014-05-13,740,941,761,344,31,2818
2014-05-14,706,930,775,321,32,2763
2014-05-15,786,941,780,331,32,2869
2014-05-16,820,948,804,340,34,2946
2014-05-17,821,928,782,349,34,2914
2014-05-18,803,908,743,345,31,2830
2014-05-19,825,933,750,356,32,2896
2014-05-20,863,948,740,351,32,2934
2014-05-21,883,948,754,359,33,2976
2014-05-22,904,955,759,355,32,3006
2014-05-23,891,936,774,352,32,2985
2014-05-24,868,932,760,358,31,2948
2014-05-25,823,903,715,325,30,2796
2014-05-26,856,938,695,306,31,2826
2014-05-27,911,939,725,291,32,2898
2014-05-28,933,945,718,292,32,2920
2014-05-29,935,947,726,329,32,2969
2014-05-30,874,952,748,350,34,2958
2014-05-31,886,950,754,315,34,2939
2014-06-01,843,912,731,314,34,2834
2014-06-02,885,932,744,321,34,2917
2014-06-03,927,926,665,337,35,2890
2014-06-04,946,952,734,343,35,3011
2014-06-05,976,945,741,342,36,3040
2014-06-06,975,956,744,358,36,3069
2014-06-07,1012,958,740,350,36,3095
2014-06-08,998,943,716,334,37,3028
2014-06-09,1007,961,713,338,35,3055
2014-06-10,1026,954,724,338,35,3077
2014-06-11,1029,940,750,346,36,3102
2014-06-12,956,920,756,355,36,3023
2014-06-13,910,929,748,348,37,2971
2014-06-14,940,915,758,339,37,2990
2014-06-15,964,883,724,336,35,2941
2014-06-16,1039,904,755,343,37,3077
2014-06-17,1050,908,772,347,36,3113
2014-06-18,1041,900,761,341,36,3078
2014-06-19,1052,907,768,331,36,3094
2014-06-20,1068,897,773,316,36,3090
2014-06-21,1044,901,773,306,35,3058
2014-06-22,1002,881,738,312,32,2965
2014-06-23,1008,916,765,337,33,3058
2014-06-24,1013,942,779,333,34,3101
2014-06-25,1013,953,785,334,35,3120
2014-06-26,1017,944,781,330,36,3109
2014-06-27,1032,929,782,324,38,3105
2014-06-28,1051,938,765,326,38,3119
2014-06-29,1018,932,752,321,38,3060
2014-06-30,1037,971,756,314,37,3115
2014-07-01,1010,980,769,304,39,3102
2014-07-02,1003,986,785,316,40,3131
2014-07-03,993,948,785,317,37,3080
2014-07-04,1006,955,778,312,37,3087
2014-07-05,1022,956,753,311,35,3078
2014-07-06,1007,925,725,320,35,3012
2014-07-07,1031,941,742,317,35,3066
2014-07-08,1063,939,739,339,38,3117
2014-07-09,1084,919,737,328,39,3106
2014-07-10,1071,914,717,343,40,3085
2014-07-11,1096,887,707,336,38,3064
2014-07-12,1072,870,709,344,38,3032
2014-07-13,1048,860,682,341,38,2968
2014-07-14,1050,874,715,347,38,3025
2014-07-15,1059,850,726,347,38,3019
2014-07-16,1028,805,730,340,40,2943
2014-07-17,1006,810,757,343,39,2954
2014-07-18,914,809,768,340,38,2869
2014-07-19,948,791,748,338,37,2861
2014-07-20,948,774,726,337,37,2822
2014-07-21,948,774,726,337,37,2822
2014-07-22,1002,802,750,320,36,2910
2014-07-23,1024,776,755,317,35,2906
2014-07-24,1004,754,748,340,39,2885
2014-07-25,1002,749,763,342,39,2895
2014-07-26,1008,771,765,342,34,2919
2014-07-27,1023,779,762,340,37,2942
2014-07-28,1006,775,725,334,38,2878
2014-07-29,986,789,738,342,38,2892
2014-07-30,975,773,740,345,38,2870
2014-07-31,995,764,747,350,37,2893
2014-08-01,1000,776,751,343,39,2909
2014-08-02,1005,762,742,353,39,2921
2014-08-03,989,769,706,333,38,2835
2014-08-04,993,786,744,320,38,2881
2014-08-05,953,769,758,315,39,2833
2014-08-06,973,766,767,337,37,2880
2014-08-07,957,785,783,347,38,2909
2014-08-08,966,795,779,339,38,2917
2014-08-09,956,801,758,342,39,2896
2014-08-10,915,762,728,323,38,2765
2014-08-11,948,745,768,338,38,2837
2014-08-12,950,823,759,340,39,2911
2014-08-13,981,839,772,342,39,2973
2014-08-14,1000,843,778,335,36,2992
2014-08-15,953,821,741,311,35,2861
2014-08-16,956,801,758,342,39,2896
2014-08-17,958,823,730,306,37,2853
2014-08-18,1003,832,742,322,37,2937
2014-08-19,1020,879,740,327,39,3004
2014-08-20,1034,893,735,321,38,3021
2014-08-21,1075,909,740,325,37,3086
2014-08-22,1082,901,749,335,37,3104
2014-08-23,1077,906,732,324,36,3075
2014-08-24,1072,860,701,324,36,2993
2014-08-25,1073,876,735,332,36,3052
2014-08-26,1089,875,739,338,36,3076
