,NR,WR,SR,ER,NER,TOTAL
2014-01-01,35136,36914,31623,14794,1761,120228
2014-01-02,36462,38019,32126,15083,1797,123487
2014-01-03,37787,37776,32573,14592,1861,124589
2014-01-04,36636,36784,31636,14804,1804,121664
2014-01-05,35764,36419,29973,14118,1798,118072
2014-01-06,36984,38515,32793,14518,1865,124675
2014-01-07,37419,37986,32928,14724,1860,124917
2014-01-08,37580,38358,33025,15199,1853,126015
2014-01-09,36552,38203,33011,15223,1783,124772
2014-01-10,37178,37704,33288,15412,1888,125470
2014-01-11,37275,36899,32409,15154,1917,123654
2014-01-12,35433,37022,30224,14915,1854,119448
2014-01-13,36404,37696,31314,14805,1923,122142
2014-01-14,35522,33904,30190,14688,1877,116181
2014-01-15,37097,36187,29256,14993,1805,119338
2014-01-16,38227,36917,30868,14986,1847,122845
2014-01-17,36750,36629,31083,15362,1847,121671
2014-01-18,35809,36970,32647,15154,1775,122355
2014-01-19,34775,36066,30621,14529,1734,117725
2014-01-20,36273,37489,32774,14971,1772,123279
2014-01-21,34771,36625,32519,14749,1791,120455
2014-01-22,33916,36224,32770,14637,1782,119329
2014-01-23,32741,36164,32865,14607,1789,118166
2014-01-24,34547,36388,33146,14757,1763,120601
2014-01-25,34496,36276,33132,14804,1836,120544
2014-01-26,33428,32798,30029,14110,1760,112125
2014-01-27,34806,36580,32638,14655,1825,120504
2014-01-28,36311,37168,32959,14849,1686,122973
2014-01-29,36517,37315,33002,14828,1752,123414
2014-01-30,35787,37331,32959,14476,1747,122300
2014-01-31,36638,37179,33545,14817,1827,124006
2014-02-01,36042,38783,32914,14473,1849,124061
2014-02-02,34584,37748,32631,14314,1837,121113
2014-02-03,33372,35951,30714,14131,1829,115997
2014-02-04,35584,38089,32466,14673,1910,122722
2014-02-05,36222,39054,32829,14411,1799,124315
2014-02-06,36655,38929,33391,15377,1837,126189
2014-02-07,36780,37026,33879,14904,1879,124467
2014-02-08,35078,36512,34242,14576,1902,122310
2014-02-09,35404,36017,33097,14247,1881,120646
2014-02-10,33283,35042,30829,13753,1696,114603
2014-02-11,35509,36761,33374,14795,1921,122360
2014-02-12,35586,37763,33348,14511,1883,123091
2014-02-13,35835,38637,32997,14861,1760,124090
2014-02-14,35806,38785,33570,14532,1870,124563
2014-02-15,34677,37489,34275,14696,1854,122991
2014-02-16,35998,37860,33551,14773,1764,123946
2014-02-17,33677,34343,31564,14657,1798,116039
2014-02-18,35777,36428,33086,14896,1761,121948
2014-02-19,35470,35802,33928,15353,1778,122331
2014-02-20,35227,35192,33353,15309,1839,120920
2014-02-21,34347,32765,33444,15508,1811,117875
2014-02-22,36638,37179,33545,14817,1827,124006
2014-02-23,33677,34343,31564,14657,1798,116039
2014-02-24,35777,36428,33086,14896,1761,121948
2014-02-25,35470,35802,33928,15353,1778,122331
2014-02-26,35227,35192,33353,15309,1839,120920
2014-02-27,34347,32765,33444,15508,1811,117875
2014-02-28,31843,33047,32815,15252,1775,114732
2014-03-01,31614,34968,33117,15050,1465,116214
2014-03-02,31292,34431,30733,14605,1658,112719
2014-03-03,32393,35277,32111,15161,1707,116649
2014-03-04,33183,35354,32201,14298,1740,116776
2014-03-05,33341,35356,33435,15231,1877,119240
2014-03-06,33485,35581,33014,14342,1905,118327
2014-03-07,33323,37018,32715,14948,1853,119857
2014-03-08,33402,35827,32602,15129,1855,118815
2014-03-09,31969,34269,30675,15132,1702,113747
2014-03-10,31063,37117,32825,15268,1815,118088
2014-03-11,30925,36502,34217,15492,1971,119107
2014-03-12,31091,35727,33712,15502,1906,117938
2014-03-13,32267,38023,33697,16084,1816,121887
2014-03-14,33646,37551,33111,15899,1874,122081
2014-03-15,32291,38315,32949,15242,1724,120521
2014-03-16,32686,35526,31003,14790,1804,115809
2014-03-17,30070,32079,32715,14412,1795,111071
2014-03-18,31362,37589,34943,16105,1835,121834
2014-03-19,31978,37306,34167,15961,1648,121060
2014-03-20,33476,37528,32877,15813,1807,121501
2014-03-21,32735,38397,34200,15902,1924,123158
2014-03-22,33978,38805,34990,15091,1914,124778
2014-03-23,31749,38592,34511,15035,1863,121750
2014-03-24,30900,39533,36126,14956,1948,123463
2014-03-25,31073,40084,35616,15941,1932,124647
2014-03-26,32402,40236,35976,15829,1899,126342
2014-03-27,31895,38590,35904,15965,1883,124237
2014-03-28,29952,39628,35017,16242,1863,122702
2014-03-29,31403,39999,34201,15806,1992,123401
2014-03-30,29398,38777,33746,14959,1915,118795
2014-03-31,31972,37858,34569,15969,1848,122216
2014-04-01,33202,37992,34872,15585,1908,123559
2014-04-02,33998,40210,35661,15893,1808,127570
2014-04-03,35315,40848,35608,15968,1896,129635
2014-04-04,35701,38855,34404,16050,1842,126852
2014-04-05,35275,39616,33789,15778,1859,126317
2014-04-06,34052,39566,33112,15644,1920,124294
2014-04-07,33590,41004,34552,15811,1885,126842
2014-04-08,35277,39206,34516,15307,1780,126086
2014-04-09,35370,38484,33891,16083,1825,125653
2014-04-10,34815,41419,34107,15602,1932,127875
2014-04-11,35042,40904,33289,15861,1883,126979
2014-04-12,34906,38876,33097,15381,1821,124081
2014-04-13,32582,36929,32535,13890,1879,117815
2014-04-14,33773,39229,32134,16249,1932,123317
2014-04-15,35631,40341,32987,15802,1873,126634
2014-04-16,34864,39274,33228,15579,1792,124737
2014-04-17,33709,37400,31951,14825,1898,119783
2014-04-18,31088,39238,32245,16333,1882,120786
2014-04-19,33491,39717,33049,16353,1797,124407
2014-04-20,31541,34411,31900,15562,1879,115293
2014-04-21,34506,38938,33870,15819,1901,125034
2014-04-22,33947,40382,34344,16979,1967,127619
2014-04-23,35193,41174,33908,16315,1991,128581
2014-04-24,35950,38442,32399,16567,2007,125365
2014-04-25,36446,39750,34327,16314,1781,128618
2014-04-26,36045,41896,33252,16603,1751,129547
2014-04-27,36216,40139,32087,14563,1821,124826
2014-04-28,37490,40765,33808,15538,1818,129419
2014-04-29,38149,40981,33153,15847,1585,129715
2014-04-30,38163,39663,32365,16840,1891,128922
2014-05-01,38592,39027,30543,13516,1731,123409
2014-05-02,35370,40442,32315,13780,1975,123882
2014-05-03,36530,40016,31884,13827,1777,124033
2014-05-04,35685,38319,30632,13378,1760,119774
2014-05-05,37534,38840,31126,14660,1885,124045
2014-05-06,38717,40153,31242,15123,1906,127141
2014-05-07,39461,40146,30134,15016,1638,126395
2014-05-08,30650,40744,27993,14839,1659,115885
2014-05-09,37662,40648,29948,15032,1700,124990
2014-05-10,34050,39991,30952,15746,1839,122578
2014-05-11,35395,38494,28858,14945,1826,119518
2014-05-12,35367,38050,30326,14495,1786,120024
2014-05-13,34698,38904,32385,15130,1762,122879
2014-05-14,33977,38807,31935,15015,1891,121625
2014-05-15,35014,40124,32880,15711,1816,125545
2014-05-16,36126,39967,33296,15302,1891,126583
2014-05-17,36346,38540,32452,16232,1952,125522
2014-05-18,35335,37028,30683,15166,1832,120044
2014-05-19,35777,38875,30536,15926,1858,122972
2014-05-20,38442,39554,31803,15992,1899,127690
2014-05-21,38284,40684,31063,15961,1930,127922
2014-05-22,38508,40663,32529,16095,1780,129575
2014-05-23,35959,39877,31760,16309,1799,125704
2014-05-24,36790,39132,31792,15904,1658,125277
2014-05-25,33589,37288,27729,14031,1638,114275
2014-05-26,38626,39706,28790,13923,1772,122817
2014-05-27,38130,39678,30875,14249,1785,124717
2014-05-28,39415,39300,30357,13060,1680,123812
2014-05-29,39598,39782,31297,16163,1777,128617
2014-05-30,32602,40017,32650,16190,1790,123249
2014-05-31,38417,39224,31912,14268,1820,125641
2014-06-01,35956,38103,30991,14635,1916,121601
2014-06-02,37907,38934,29648,15582,1943,124014
2014-06-03,38188,38798,29623,16550,1819,124978
2014-06-04,40333,39061,31425,15606,1864,128289
2014-06-05,40543,39267,32043,15164,1917,128934
2014-06-06,42122,40554,31410,16153,1873,132112
2014-06-07,41883,40604,31433,14828,1959,130707
2014-06-08,40447,38973,29709,14774,1962,125865
2014-06-09,42377,39662,30712,15183,1964,129898
2014-06-10,42658,40334,30495,15699,1897,131083
2014-06-11,41213,38169,32717,13536,1922,127557
2014-06-12,33245,39663,32024,15505,1912,122348
2014-06-13,38171,38375,31897,15914,1862,126219
2014-06-14,40496,38335,31450,14978,1901,127160
2014-06-15,39988,36187,29523,14140,1871,121709
2014-06-16,43128,38594,32410,16078,1889,132099
2014-06-17,43444,38061,32695,15647,1679,131526
2014-06-18,42448,38738,31888,15057,1904,130035
2014-06-19,44819,39085,31062,14975,1844,131785
2014-06-20,44693,38045,31933,14987,1985,131643
2014-06-21,40860,38216,31705,14692,1916,127389
2014-06-22,41846,36972,29618,15453,1909,125798
2014-06-23,41440,39312,32100,15781,1791,130424
2014-06-24,43035,40158,32360,15940,1809,133302
2014-06-25,42798,40129,32866,15379,1898,133070
2014-06-26,43052,39530,32712,15953,1799,133046
2014-06-27,43759,38845,33219,15080,1920,132823
2014-06-28,42641,39257,32653,16088,1943,132582
2014-06-29,43016,38201,30812,13276,1878,127183
2014-06-30,45242,40510,33048,14992,1954,135746
2014-07-01,43560,40462,33157,14721,1970,133870
2014-07-02,42662,41385,32804,15925,1982,134758
2014-07-03,42413,39298,33319,15642,1783,132455
2014-07-04,44121,39206,32691,15592,1870,133480
2014-07-05,44208,39289,31719,16029,1786,133031
2014-07-06,41936,37622,30697,14885,1798,126938
2014-07-07,44005,39776,31424,15601,1862,132667
2014-07-08,45130,38577,32219,14989,1877,132792
2014-07-09,45002,37516,30815,16153,1945,131431
2014-07-10,44790,37913,30410,15970,1882,130965
2014-07-11,46327,37474,30588,15563,1930,131882
2014-07-12,45675,36693,29662,15670,1847,129547
2014-07-13,43142,36578,28553,15261,1901,125435
2014-07-14,45545,38207,30664,16359,1959,132735
2014-07-15,45027,36286,31088,16722,1970,131093
2014-07-16,44359,36751,31283,16089,1933,130415
2014-07-17,41135,34949,31885,16080,1912,125961
2014-07-18,40759,35407,32384,16383,1853,126786
2014-07-19,41665,35328,31905,16948,1890,127736
2014-07-20,41150,34091,30172,15413,1814,122640
2014-07-21,41150,34091,30172,15413,1814,122640
2014-07-22,43874,35484,32371,15345,1812,128886
2014-07-23,43928,34584,32115,15723,1783,128133
2014-07-24,42281,34522,31241,15781,1899,125724
2014-07-25,42569,34459,32452,15476,1958,126914
2014-07-26,43411,34381,32334,16123,1868,128117
2014-07-27,43404,34751,31608,15973,1848,127584
2014-07-28,42752,32629,29622,16425,1968,123396
2014-07-29,41880,35024,31839,16496,1955,127194
2014-07-30,42588,34359,31200,16312,1871,126330
2014-07-31,43319,35172,31499,16633,1936,128559
2014-08-01,40278,34444,32373,16068,1909,125067
2014-08-02,42386,35682,31793,16077,2014,127952
2014-08-03,42099,33862,29639,15877,1986,123463
2014-08-04,42402,34510,32594,15841,1935,127282
2014-08-05,42934,35019,32723,13051,1904,127652
2014-08-06,41988,34937,32502,15140,1811,126378
2014-08-07,41785,36136,32316,15494,1940,127671
2014-08-08,41310,36077,31394,16380,1982,127143
