Hour,Lighting,Refrigirators,Rice Cookers,Air Conditioners,Fans,Televisions,Standby Power,Other
0,1.2,1,0.7,1.6,0.9,0.2,1,0.8
1,0.9,1,0.7,1.5,0.7,0,1,0.7
2,0.9,1,0.7,1.5,0.7,0,1,0.7
3,0.9,1,0.7,1.5,0.7,0,1,0.7
4,1,1,0.6,1.5,0.6,0,1,0.7
5,1.2,1,0.6,1.5,0.6,0,1,0.8
6,1,1,0.6,1.7,0.6,0.1,1,1
7,0.6,1,0.6,1.8,0.6,0.7,1,1.3
8,0.5,1,1.5,1,0.8,1.1,1,1
9,0.3,1,1.5,0.3,0.9,1,1,1
10,0.2,1,1,0.2,0.9,0.9,1,0.9
11,0.3,1,0.7,0.1,1,1,1,0.9
12,0.2,1,0.7,0.1,1.1,1.1,1,0.7
13,0.2,1,1,0.1,1.2,1.4,1,0.9
14,0.2,1,0.9,0.2,1.2,1.3,1,1
15,0.3,1,0.9,0.1,1.2,0.7,1,1.1
16,0.4,1,0.7,0.1,1.2,0.6,1,1.2
17,1.5,1,0.7,0.3,1.3,0.5,1,1.2
18,2.5,1,1.5,0.7,1.3,1,1,1.2
19,2.6,1,2.2,1.3,1.4,2.3,1,1.3
20,2.5,1,2.1,1.8,1.4,3.3,1,1.5
21,2.3,1,1.4,2,1.3,3.4,1,1.3
22,1.7,1,1,1.8,1.3,2.6,1,1.2
23,1.3,1,0.7,1.7,1.1,1,1,1.1
