Date,GDP_Growth,GDP
1-Jan-18,7.30,2039.13
2-Jan-18,7.30,2039.13
3-Jan-18,7.30,2039.13
4-Jan-18,7.30,2039.13
5-Jan-18,7.30,2039.13
6-Jan-18,7.30,2039.13
7-Jan-18,7.30,2039.13
8-Jan-18,7.30,2039.13
9-Jan-18,7.30,2039.13
10-Jan-18,7.30,2039.13
11-Jan-18,7.30,2039.13
12-Jan-18,7.30,2039.13
13-Jan-18,7.30,2039.13
14-Jan-18,7.30,2039.13
15-Jan-18,7.30,2039.13
16-Jan-18,7.30,2039.13
17-Jan-18,7.30,2039.13
18-Jan-18,7.30,2039.13
19-Jan-18,7.30,2039.13
20-Jan-18,7.30,2039.13
21-Jan-18,7.30,2039.13
22-Jan-18,7.30,2039.13
23-Jan-18,7.30,2039.13
24-Jan-18,7.30,2039.13
25-Jan-18,7.30,2039.13
26-Jan-18,7.30,2039.13
27-Jan-18,7.30,2039.13
28-Jan-18,7.30,2039.13
29-Jan-18,7.30,2039.13
30-Jan-18,7.30,2039.13
31-Jan-18,7.30,2039.13
1-Feb-18,7.30,2039.13
2-Feb-18,7.30,2039.13
3-Feb-18,7.30,2039.13
4-Feb-18,7.30,2039.13
5-Feb-18,7.30,2039.13
6-Feb-18,7.30,2039.13
7-Feb-18,7.30,2039.13
8-Feb-18,7.30,2039.13
9-Feb-18,7.30,2039.13
10-Feb-18,7.30,2039.13
11-Feb-18,7.30,2039.13
12-Feb-18,7.30,2039.13
13-Feb-18,7.30,2039.13
14-Feb-18,7.30,2039.13
15-Feb-18,7.30,2039.13
16-Feb-18,7.30,2039.13
17-Feb-18,7.30,2039.13
18-Feb-18,7.30,2039.13
19-Feb-18,7.30,2039.13
20-Feb-18,7.30,2039.13
21-Feb-18,7.30,2039.13
22-Feb-18,7.30,2039.13
23-Feb-18,7.30,2039.13
24-Feb-18,7.30,2039.13
25-Feb-18,7.30,2039.13
26-Feb-18,7.30,2039.13
27-Feb-18,7.30,2039.13
28-Feb-18,7.30,2039.13
1-Mar-18,7.30,2039.13
2-Mar-18,7.30,2039.13
