Date,NR,WR,SR,ER,NER,TOTAL
01-Jan-15,827,767,736,294,38,2662
02-Jan-15,796,783,751,283,36,2648
03-Jan-15,803,801,744,283,38,2669
04-Jan-15,803,798,720,284,34,2639
05-Jan-15,803,820,749,292,35,2699
06-Jan-15,826,847,763,289,36,2762
07-Jan-15,828,853,768,295,36,2779
08-Jan-15,830,863,773,295,36,2797
09-Jan-15,844,864,778,303,36,2825
10-Jan-15,839,874,776,304,36,2829
11-Jan-15,826,860,738,300,35,2760
12-Jan-15,843,888,752,304,35,2822
13-Jan-15,835,897,758,311,35,2835
14-Jan-15,817,841,753,301,36,2749
15-Jan-15,814,865,705,303,34,2721
16-Jan-15,827,887,692,303,36,2744
17-Jan-15,821,900,712,307,38,2779
18-Jan-15,803,889,709,304,36,2741
19-Jan-15,819,909,742,315,36,2821
20-Jan-15,833,916,761,312,36,2859
21-Jan-15,842,912,763,307,35,2859
22-Jan-15,769,885,768,308,36,2765
23-Jan-15,791,881,778,302,36,2788
24-Jan-15,793,887,773,310,36,2798
25-Jan-15,778,846,738,302,36,2701
26-Jan-15,745,802,728,297,35,2608
27-Jan-15,772,836,760,304,35,2708
28-Jan-15,797,874,783,304,36,2794
29-Jan-15,808,873,790,301,37,2809
30-Jan-15,821,881,795,303,35,2835
31-Jan-15,829,886,787,304,35,2841
01-Feb-15,801,866,753,301,36,2757
02-Feb-15,792,907,777,302,36,2813
03-Feb-15,765,899,790,303,36,2793
04-Feb-15,796,913,792,306,35,2842
05-Feb-15,799,919,797,310,36,2861
06-Feb-15,796,919,803,305,36,2860
07-Feb-15,789,921,797,307,36,2850
08-Feb-15,780,884,764,304,36,2768
09-Feb-15,790,900,794,310,36,2830
10-Feb-15,802,915,804,318,37,2875
11-Feb-15,816,888,806,314,37,2861
12-Feb-15,815,904,809,311,36,2874
13-Feb-15,824,911,825,314,34,2908
14-Feb-15,820,920,814,310,36,2900
15-Feb-15,809,971,786,310,36,2913
16-Feb-15,785,937,813,316,33,2885
17-Feb-15,808,940,827,317,36,2928
18-Feb-15,810,951,817,312,36,2926
19-Feb-15,821,966,819,310,35,2952
20-Feb-15,800,964,828,315,36,2942
21-Feb-15,812,968,822,317,35,2954
22-Feb-15,789,958,788,316,34,2884
23-Feb-15,798,977,808,338,32,2953
24-Feb-15,793,993,827,350,36,2998
25-Feb-15,773,986,830,342,36,2967
26-Feb-15,786,971,837,347,33,2973
27-Feb-15,807,957,838,340,32,2974
28-Feb-15,794,924,820,337,24,2899
01-Mar-15,614,722,757,333,35,2461
02-Mar-15,592,752,783,330,38,2494
03-Mar-15,679,813,803,329,34,2658
04-Mar-15,695,838,800,315,34,2683
05-Mar-15,720,844,815,308,34,2720
06-Mar-15,642,741,792,301,34,2509
07-Mar-15,643,818,786,306,34,2587
08-Mar-15,652,841,759,310,35,2597
09-Mar-15,675,900,785,331,35,2725
10-Mar-15,711,901,809,337,36,2795
11-Mar-15,727,911,818,335,36,2827
12-Mar-15,735,904,829,337,36,2841
13-Mar-15,731,871,843,345,36,2826
14-Mar-15,677,856,832,346,35,2746
15-Mar-15,609,809,799,335,35,2586
16-Mar-15,636,864,827,343,36,2706
17-Mar-15,674,874,833,349,38,2767
18-Mar-15,695,897,845,354,34,2825
19-Mar-15,714,923,871,356,36,2900
20-Mar-15,720,921,859,355,35,2889
21-Mar-15,733,933,845,354,36,2902
22-Mar-15,725,927,815,345,36,2848
23-Mar-15,760,965,861,351,36,2973
24-Mar-15,788,986,870,357,36,3037
25-Mar-15,805,989,880,367,34,3075
26-Mar-15,819,1013,893,368,37,3130
27-Mar-15,799,993,878,354,36,3059
28-Mar-15,807,986,870,343,34,3040
29-Mar-15,730,941,841,352,35,2900
30-Mar-15,685,945,856,329,35,2849
31-Mar-15,731,961,861,317,33,2903
01-Apr-15,732,954,859,331,35,2910
02-Apr-15,734,964,862,330,32,2922
03-Apr-15,668,957,862,341,31,2859
04-Apr-15,645,951,855,338,28,2818
05-Apr-15,662,944,838,322,22,2787
06-Apr-15,697,974,868,326,29,2894
07-Apr-15,696,977,864,328,32,2897
08-Apr-15,716,988,858,321,31,2915
09-Apr-15,726,988,857,330,34,2934
