Date,NR,WR,SR,ER,NER,TOTAL
01-Jan-17,40444,40024,32298,15932,2210,130908
02-Jan-17,42018,42803,36558,16788,2228,140395
03-Jan-17,41533,43596,37151,16528,2207,141014
04-Jan-17,42548,43467,37318,16875,2256,142464
05-Jan-17,43461,43697,37427,16775,2228,143588
06-Jan-17,41683,43152,36962,16227,2299,140323
07-Jan-17,41184,43194,36837,17215,2300,140730
08-Jan-17,39658,40343,34078,16730,2197,133006
09-Jan-17,40006,42689,36978,17118,2244,139035
10-Jan-17,42483,43364,37084,16867,2292,142090
11-Jan-17,43572,43647,37153,17273,2284,143929
12-Jan-17,42347,43228,36990,17336,2210,142112
13-Jan-17,44273,41881,36225,17019,2314,141712
14-Jan-17,42407,38743,32721,16445,2237,132552
15-Jan-17,41587,38622,31900,16961,2241,131311
16-Jan-17,43738,43523,35038,17318,2232,141850
17-Jan-17,44030,43784,35713,16523,2290,142340
18-Jan-17,44447,43824,36461,17406,2263,144400
19-Jan-17,43237,44101,36120,17331,2287,143076
20-Jan-17,43901,43075,36079,17359,2305,142719
21-Jan-17,43960,43878,35949,17533,2260,143580
22-Jan-17,40723,42233,33948,16935,2243,136083
23-Jan-17,42803,44284,36919,17416,2266,143688
24-Jan-17,42945,45342,37184,17088,2269,144828
25-Jan-17,41692,45183,37267,17108,2243,143493
26-Jan-17,31907,39864,34136,16601,2218,124726
27-Jan-17,38034,43585,36501,17224,2205,137549
28-Jan-17,40618,44301,36199,17021,2272,140411
29-Jan-17,38181,42464,34037,16508,2186,133375
30-Jan-17,40317,44491,37291,16805,2228,141132
31-Jan-17,39984,44679,37550,17611,2285,142109
01-Feb-17,39188,43814,37179,17224,2322,139727
02-Feb-17,39889,44314,37401,17377,2317,141298
03-Feb-17,40739,44344,37933,17410,2288,142713
04-Feb-17,39484,44184,37508,16606,2324,140106
05-Feb-17,37456,41549,35057,15900,2227,132189
06-Feb-17,40096,43698,37397,17356,2273,140820
07-Feb-17,40895,44256,37737,16823,2291,142002
08-Feb-17,41789,44100,37470,17431,2274,143064
09-Feb-17,41830,44716,37669,17403,2276,143894
10-Feb-17,42027,43659,37443,17015,2284,142428
11-Feb-17,41950,42668,36973,16048,2306,139945
12-Feb-17,40418,41504,34416,16273,2185,134796
13-Feb-17,41879,43801,37074,16879,2316,141949
14-Feb-17,42405,44702,37250,16305,2265,142927
