,,,,,,,,,,,,SR-EMI  ,ER-EMI  ,WR-EMI  ,NR-EMI  ,WR-EMI  ,WR-EMI  ,NR-EMI  ,NR-EMI  ,NR-EMI  ,ER-EMI  ,SR-EMI  ,SR-EMI  ,WR-EMI  ,WR-EMI  ,ER-EMI  ,NR-EMI  ,NR-EMI  ,ER-EMI  ,SR-EMI  ,SR-EMI  ,NR-EMI  ,NR-EMI  ,WR-EMI  ,ER-EMI  ,,,NR-EMI  ,WR-EMI  ,SR-EMI  ,ER-EMI  ,NER-EMI,,,,,,,,,,,,,,,,,,,,,,,
Calendar Hour,,Calendar semester,Calendar trimester,Calendar week,Calendar day,Year,Month,Day,Date,Hour,,ANDHRA,BHR,CGS,DELHI,GOA,GUJ,HARYANA,HIMACHAL,J&K,JH,KARN,KERALA,MP,MAH,ODSA,PUNJAB,RAJ,SKM,TN,TELNGANA,UKHAND,UP,UT_WEST,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,1,1,4927,2270,2103,1819,288,8780,3906,885,2081,846,6744,2146,5637,12872,2021,3660,7521,54,8322,5287,1453,10264,819,4213,,,31589,30499,27426,9404,1321,100239,,,,,,,,,,,,,,,,,,,,,,
2,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,2,2,4891,2257,2049,1565,273,8816,5027,889,2057,868,6775,2065,5481,12466,2021,3492,7334,54,8244,5248,1475,10432,812,4085,,,32271,29897,27223,9285,1305,99981,,,,,,,,,,,,,,,,,,,,,,
3,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,3,3,4946,2279,2089,1541,267,8547,5017,866,2056,849,6501,2014,5579,12329,1950,3487,7180,52,8301,5307,1444,10069,809,4009,,,31660,29620,27069,9139,1284,98772,,,,,,,,,,,,,,,,,,,,,,
4,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,4,4,5174,2298,2056,1492,265,8510,5010,871,2009,846,6433,1988,5553,12306,2150,3489,7119,52,8361,5552,1436,9940,786,3986,,,31366,29476,27508,9332,1311,98993,,,,,,,,,,,,,,,,,,,,,,
5,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,5,5,5082,2304,2103,1507,258,8619,5028,876,1988,869,6519,2085,5680,12759,2337,3487,6770,54,8866,5453,1448,9941,782,4005,,,31045,30201,28005,9569,1345,100165,,,,,,,,,,,,,,,,,,,,,,
6,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,6,6,5328,2366,2265,1639,261,9103,5072,888,1897,908,6541,2318,6116,13674,2480,3668,6723,56,9218,5717,1502,10123,805,4082,,,31512,32224,29122,9892,1390,104140,,,,,,,,,,,,,,,,,,,,,,
7,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,7,7,5139,2416,2522,2080,280,9910,5193,991,1987,911,6800,2611,6972,14920,2609,4223,7600,58,10168,5514,1510,9794,831,3963,,,33378,35435,30232,9957,1399,110401,,,,,,,,,,,,,,,,,,,,,,
8,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,8,8,5256,2295,2644,2544,303,10484,5273,1154,1917,944,7093,2692,8143,16421,2523,4800,8671,60,10493,5640,1614,9657,826,4241,,,35630,38821,31174,10063,1414,117102,,,,,,,,,,,,,,,,,,,,,,
9,2015-01-01,1,1,1,1,2015,01,01,2015-01-01,9,9,4926,2181,2671,2741,311,10842,5286,1233,1846,922,7702,2419,8809,16785,2552,4652,8805,65,10590,5286,1623,10653,841,4489,,,36839,40259,30923,10209,1434,119664,,,,,,,,,,,,,,,,,,,,,,
