Date,India,NR,WR,SR,ER,NER
2013,1.57E+12,4.22E+11,4.40E+11,4.43E+11,2.09E+11,3.98E+10
2014,1.74E+12,4.59E+11,4.83E+11,4.94E+11,2.25E+11,4.43E+10
2015,1.91E+12,5.13E+11,5.35E+11,5.55E+11,2.41E+11,5.06E+10
2016,2.14E+12,5.67E+11,6.03E+11,6.30E+11,2.72E+11,5.62E+10
2017,2.39E+12,6.31E+11,6.73E+11,7.11E+11,3.11E+11,6.37E+10
2018,2.66E+12,7.04E+11,7.50E+11,8.22E+11,3.58E+11,7.25E+10
2019,2.94E+12,7.47E+11,8.53E+11,8.72E+11,3.88E+11,7.94E+10
2020,3.08E+12,7.99E+11,8.82E+11,9.36E+11,4.05E+11,8.58E+10
2025,4.18E+12,1.07E+12,1.21E+12,1.29E+12,5.51E+11,1.19E+11
2030,5.27E+12,1.35E+12,1.53E+12,1.65E+12,6.97E+11,1.53E+11
2035,6.37E+12,1.62E+12,1.85E+12,2.01E+12,8.43E+11,1.86E+11
2040,7.47E+12,1.90E+12,2.18E+12,2.36E+12,9.88E+11,2.20E+11
2045,8.56E+12,2.17E+12,2.50E+12,2.72E+12,1.13E+12,2.53E+11
2050,9.66E+12,2.44E+12,2.82E+12,3.08E+12,1.28E+12,2.86E+11
