Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5
9,1,1,1,8760,1,1,1,90.01439798,83.4588919,82.35246371,30.10003917,5.287674365
,,,,,,,2,91.95779028,81.8115509,81.74291255,29.71914756,5.22076313
,,,,,,,3,90.21671594,81.05355513,81.28049443,29.25183517,5.138670355
,,,,,,,4,89.37894859,80.65950679,82.59868635,29.86958374,5.247190257
,,,,,,,5,88.46424341,82.64343074,84.09103574,30.62816618,5.380450446
,,,,,,,6,89.79498272,88.17926268,87.44506848,31.66201483,5.562066654
,,,,,,,7,95.11224083,96.96599345,90.77808222,31.87006486,5.598614808
,,,,,,,8,101.5294248,106.2316024,93.60663982,32.20934646,5.658216411
,,,,,,,9,104.9745293,110.166613,92.85295834,32.67665885,5.740309187
,,,,,,,10,103.410127,113.4175118,91.77198091,32.1101226,5.640785754
,,,,,,,11,106.0117651,113.3682558,91.1324026,32.28936571,5.672273393
,,,,,,,12,104.9517329,111.0696404,89.27972739,31.65561329,5.560942096
,,,,,,,13,102.7689785,108.5876831,91.33658722,30.86182238,5.421496834
,,,,,,,14,101.7488401,106.0291054,90.63395189,29.40867289,5.16622204
,,,,,,,15,101.3755492,104.9810462,88.37891287,29.01177744,5.096499409
,,,,,,,16,100.1245972,106.6749068,87.85644045,30.60896156,5.377076771
,,,,,,,17,102.1791219,106.0619427,88.73623597,33.01914122,5.80047307
,,,,,,,18,100.9509664,103.0983708,88.4840079,39.21903232,6.889608038
,,,,,,,19,106.6956568,105.0768219,91.48071755,39.6447347,6.964391183
,,,,,,,20,109.4369228,103.7031256,94.56450593,38.51806373,6.766468876
,,,,,,,21,104.5755925,97.9620601,92.07525513,36.31913488,6.380183009
,,,,,,,22,100.4294989,94.09272428,91.2134759,33.26880127,5.844330854
,,,,,,,23,99.42360821,91.17293551,87.93451104,30.89062931,5.426557347
,,,,,,,24,96.05259195,87.14214933,85.64343944,30.36890383,5.334905824
,,,,,,,25,85.79421616,86.79462058,82.1512818,30.83301545,5.41643632
,,,,,,,26,81.03831916,85.27862904,81.20242384,30.38170691,5.337154942
,,,,,,,27,78.77862694,85.25400102,80.52381023,29.94640222,5.260684959
