Date,NR,WR,SR,ER,NER,TOTAL
1-Jan-15,835774,843214,708449,242186,34029,2663652
2-Jan-15,772043,872452,709401,250680,35225,2639801
3-Jan-15,853387,898691,718161,243188,34170,2747597
4-Jan-15,773651,842609,711702,214599,30153,2572714
5-Jan-15,798833,785888,716753,225151,31636,2558261
6-Jan-15,801387,785888,744784,225317,31659,2589035
7-Jan-15,862622,814793,762598,240244,33754,2714011
8-Jan-15,865863,813053,778741,240282,33762,2731701
9-Jan-15,883740,821516,789797,256938,36103,2788094
10-Jan-15,866170,836555,787008,260338,36580,2786651
11-Jan-15,848561,850697,776304,258233,36285,2770080
12-Jan-15,819183,854678,762527,250807,35241,2722436
13-Jan-15,878684,859029,778946,262746,36917,2816322
14-Jan-15,897203,870128,780801,261930,36804,2846866
15-Jan-15,858915,862978,772668,260610,36618,2791789
16-Jan-15,860082,854685,742283,262211,36843,2756104
17-Jan-15,843868,868356,730844,256153,35992,2735213
18-Jan-15,810308,886573,724863,253128,35562,2710434
19-Jan-15,857892,873924,736254,262967,36950,2767987
20-Jan-15,790772,874985,756221,251293,35310,2708581
21-Jan-15,859060,885295,764771,257554,36187,2802867
22-Jan-15,817006,874660,759949,254676,35787,2742078
23-Jan-15,825691,840696,748115,255308,35874,2705684
24-Jan-15,773876,862996,753266,253536,35621,2679295
25-Jan-15,797137,864816,745914,253998,35690,2697555
26-Jan-15,755312,810869,729415,238510,33513,2567619
27-Jan-15,824669,810869,713269,256164,35994,2640965
28-Jan-15,832767,842426,747767,237675,33393,2694028
29-Jan-15,783238,842426,766556,230541,32392,2655153
30-Jan-15,823387,818714,760225,248955,34980,2686261
31-Jan-15,838176,844870,748298,258045,36257,2725646
1-Feb-15,712616,841797,755284,244876,34407,2588980
2-Feb-15,809128,839063,751669,253673,35643,2689176
3-Feb-15,809854,914063,768703,270906,38066,2801592
4-Feb-15,805243,919703,779072,254244,35724,2793986
5-Feb-15,836625,919703,790428,245104,34439,2826299
6-Feb-15,804526,898612,800310,251239,35302,2789989
7-Feb-15,809718,898612,810601,253547,35624,2808102
8-Feb-15,762927,916200,786589,275872,38762,2780350
9-Feb-15,810251,877324,790378,273914,38485,2790352
10-Feb-15,737356,898286,800224,273507,38429,2747802
11-Feb-15,742222,861351,805401,268268,37692,2714934
12-Feb-15,812752,842891,811688,271097,38092,2776520
13-Feb-15,747303,863428,827180,255271,35868,2729050
14-Feb-15,817126,882953,822104,265882,37359,2825424
15-Feb-15,780397,903519,807698,244329,34328,2770271
16-Feb-15,798171,891208,794130,267038,37522,2788069
17-Feb-15,728306,921696,807727,266226,37407,2761362
18-Feb-15,722453,898523,810301,269533,37871,2738681
19-Feb-15,791482,938274,802301,268856,37777,2838690
20-Feb-15,773831,954913,801030,265656,37327,2832757
21-Feb-15,715260,931717,785450,261928,36803,2731158
22-Feb-15,679161,919336,784094,234596,32963,2650150
