Date,NR,WR,SR,ER,NER,TOTAL
1-Jan-15,38405,40563,31493,12386,1740,124587
2-Jan-15,38800,41879,31738,12743,1791,126951
3-Jan-15,39220,43099,32791,12266,1723,129099
4-Jan-15,38895,40360,32192,10831,1522,123800
5-Jan-15,40164,37091,31654,11395,1601,121905
6-Jan-15,40279,37091,33835,11404,1602,124211
7-Jan-15,39674,38600,34332,12337,1733,126676
8-Jan-15,39848,38407,34889,12339,1734,127217
9-Jan-15,40654,38737,35305,13171,1851,129718
10-Jan-15,39793,39420,34776,13140,1846,128975
11-Jan-15,38310,40763,34336,13015,1829,128253
12-Jan-15,41153,40970,34062,12911,1814,130910
13-Jan-15,40372,41194,35626,13246,1861,132299
14-Jan-15,41231,41773,34450,13210,1856,132520
15-Jan-15,39468,41490,34595,13098,1840,130491
16-Jan-15,39531,41223,33274,13166,1850,129044
17-Jan-15,38771,41850,32802,12938,1818,128179
18-Jan-15,37199,42590,32435,12770,1794,126788
19-Jan-15,39419,41991,32819,13278,1866,129373
20-Jan-15,39709,42030,33658,12763,1793,129953
21-Jan-15,39448,42627,34605,13013,1828,131521
22-Jan-15,37591,42158,34287,12839,1804,128679
23-Jan-15,37996,40349,34000,12881,1810,127036
24-Jan-15,38933,41418,34341,12871,1808,129371
25-Jan-15,36602,41528,33226,12806,1799,125961
26-Jan-15,34670,38378,33295,12193,1713,120249
27-Jan-15,37900,38378,32519,12942,1818,123557
28-Jan-15,38288,40410,34986,12182,1712,127578
29-Jan-15,39359,40410,34145,11893,1671,127478
30-Jan-15,37870,39048,34645,12578,1767,125908
31-Jan-15,37867,40494,33380,12988,1825,126554
1-Feb-15,35552,40498,33624,12587,1769,124030
2-Feb-15,37831,40497,33389,13000,1827,126544
3-Feb-15,37766,42501,34588,13250,1862,129967
4-Feb-15,37595,42502,35314,13079,1838,130328
5-Feb-15,38970,42502,35322,12774,1795,131363
6-Feb-15,37508,41820,36300,12803,1799,130230
7-Feb-15,37193,41820,36127,12896,1812,129848
8-Feb-15,35587,42150,34833,13489,1895,127954
9-Feb-15,37704,41684,34819,13395,1882,129484
10-Feb-15,36744,41999,35510,13406,1884,129543
11-Feb-15,36901,41456,36175,13141,1846,129519
12-Feb-15,37893,40545,35734,13259,1863,129294
13-Feb-15,37180,40604,36367,12692,1783,128626
14-Feb-15,38088,40966,36364,12992,1825,130235
15-Feb-15,36337,41607,35419,12520,1759,127642
16-Feb-15,36648,42000,35416,13056,1834,128954
17-Feb-15,36195,42442,36036,13051,1834,129558
18-Feb-15,35985,42163,35510,13205,1855,128718
19-Feb-15,36925,43127,35483,13132,1845,130512
20-Feb-15,35944,43875,35346,12982,1824,129971
21-Feb-15,35632,42918,34971,12820,1801,128142
22-Feb-15,33731,42324,34961,12259,1722,124997
23-Feb-15,37371,41658,34449,13083,1838,128399
24-Feb-15,38118,42824,35303,13661,1919,131825
25-Feb-15,35629,43715,35246,13312,1870,129772
26-Feb-15,35656,43599,36478,12934,1817,130484
27-Feb-15,37071,43085,36083,12933,1817,130989
28-Feb-15,36525,42411,34520,12973,1823,128252
1-Mar-15,27151,37796,33740,13190,1853,113730
2-Mar-15,30059,32348,34808,12095,1699,111009
3-Mar-15,31353,34421,34625,11970,1682,114051
4-Mar-15,31948,35895,35542,11658,1638,116681
5-Mar-15,32565,37602,35106,13164,1850,120287
6-Mar-15,27759,36520,35244,12757,1792,114072
7-Mar-15,27805,36520,34767,13142,1847,114081
8-Mar-15,29628,37654,34211,13900,1953,117346
9-Mar-15,31445,37654,34285,14536,2042,119962
10-Mar-15,32018,38166,35448,14674,2062,122368
11-Mar-15,32737,38921,35658,14669,2061,124046
12-Mar-15,33164,39093,35830,15312,2151,125550
13-Mar-15,33237,37995,36520,14484,2035,124271
14-Mar-15,31069,38614,36957,14704,2066,123410
15-Mar-15,27940,38829,35582,13362,1877,117590
16-Mar-15,30351,38305,35998,14271,2005,120930
17-Mar-15,30702,38305,36564,14967,2103,122641
18-Mar-15,31611,38316,37196,14643,2057,123823
19-Mar-15,32924,38316,37792,14965,2103,126100
20-Mar-15,32401,39744,37190,15277,2147,126759
21-Mar-15,33163,39837,36033,14546,2044,125623
22-Mar-15,31244,40270,36139,14049,1974,123676
23-Mar-15,33147,40093,34744,14687,2064,124735
24-Mar-15,34909,41945,36861,15201,2136,131052
25-Mar-15,36010,41945,37080,15586,2190,132811
26-Mar-15,35154,43388,37619,15268,2145,133574
27-Mar-15,34552,43388,37753,15392,2163,133248
28-Mar-15,33405,42082,38355,15007,2109,130958
29-Mar-15,28703,41831,36419,13942,1959,122854
30-Mar-15,30683,38973,36040,11234,1578,118508
31-Mar-15,30521,39930,36934,13049,1834,122268
1-Apr-15,32399,41227,36012,14666,2061,126365
2-Apr-15,34284,41227,35179,14452,2031,127173
3-Apr-15,35174,40354,35688,14875,2090,128181
4-Apr-15,34589,40354,36072,13788,1937,126740
5-Apr-15,33324,40354,37087,13047,1833,125645
6-Apr-15,35114,37893,37098,13820,1942,125867
7-Apr-15,34965,42539,37140,12417,1745,128806
8-Apr-15,35623,41650,35281,13162,1849,127565
9-Apr-15,36029,41595,34884,13967,1962,128437
10-Apr-15,37294,42705,35696,15113,2124,132932
11-Apr-15,34545,41846,35104,13954,1961,127410
12-Apr-15,33002,41068,33322,12651,1778,121821
13-Apr-15,35655,35729,33328,14051,1974,120737
14-Apr-15,35997,37521,34120,14401,2023,124062
15-Apr-15,35868,37142,33461,14170,1991,122632
16-Apr-15,36290,38986,32749,15168,2131,125324
17-Apr-15,37217,39850,32983,14190,1994,126234
18-Apr-15,36302,41404,32325,14314,2011,126356
19-Apr-15,34978,41404,32725,14261,2004,125372
20-Apr-15,38847,42302,33690,15007,2109,131955
21-Apr-15,40075,43276,33067,13307,1870,131595
22-Apr-15,39017,43276,32837,13611,1912,130653
23-Apr-15,39253,43052,33216,11002,1546,128069
24-Apr-15,38089,42968,34650,13276,1865,130848
25-Apr-15,37690,42242,34406,12694,1784,128816
26-Apr-15,36052,42118,32915,12262,1723,125070
27-Apr-15,38546,39822,32225,13432,1887,125912
28-Apr-15,37851,42230,33286,8669,1218,123254
29-Apr-15,38739,42571,35021,14100,1981,132412
30-Apr-15,37793,42910,34239,13753,1932,130627
1-May-15,39375,42172,33042,13274,1865,129728
2-May-15,39047,41032,32893,12937,1818,127727
3-May-15,38245,42532,33090,12331,1733,127931
4-May-15,40201,42789,32956,13797,1939,131682
5-May-15,40317,42969,34622,14202,1996,134106
6-May-15,41519,42466,34316,14716,2068,135085
7-May-15,41805,42466,34988,14814,2081,136154
8-May-15,42879,42250,34980,14802,2080,136991
9-May-15,43463,42250,33719,14535,2042,136009
10-May-15,40580,42346,33715,14171,1991,132803
11-May-15,40388,39905,32496,13735,1930,128454
12-May-15,40496,43304,33439,13591,1910,132740
13-May-15,38594,43618,32568,14056,1975,130811
14-May-15,39089,41664,32625,14669,2061,130108
15-May-15,39775,41439,32283,13520,1900,128917
16-May-15,39545,41353,32489,13520,1900,128807
17-May-15,38912,40976,29902,14013,1969,125772
18-May-15,41369,40716,30770,14635,2056,129546
19-May-15,31122,43192,31431,15071,2118,122934
20-May-15,39390,42137,31090,14949,2100,129666
21-May-15,40347,43062,33027,14306,2010,132752
22-May-15,40374,43062,34114,14861,2088,134499
23-May-15,39693,42501,33546,13743,1931,131414
24-May-15,40505,42075,33340,12527,1760,130207
25-May-15,41370,40538,34627,12678,1781,130994
26-May-15,41400,43227,35896,13183,1852,135558
27-May-15,41109,43508,36114,14088,1979,136798
28-May-15,43025,43771,33748,14463,2032,137039
29-May-15,42109,44033,34455,13990,1966,136553
30-May-15,42381,43444,33034,13584,1909,134352
31-May-15,38184,43304,32061,13489,1895,128933
1-Jun-15,38500,43178,31613,13469,1893,128653
2-Jun-15,37512,43005,32244,14560,2046,129367
3-Jun-15,36889,43005,33228,13906,1954,128982
4-Jun-15,39371,42283,32387,14474,2034,130549
