juris,year,ev_stock,ev_stock_2,ev_flow,ev_flow_2,ev_stock_src,ev_stock_2_src,ev_flow_src,ev_flow_2_src,out_stock,fast_stock,out_flow,fast_flow,out_stock_src,fast_stock_src,out_flow_src,fast_flow_src
Alabama,2016,,,,330,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,504,,,,https://afdc.energy.gov/stations/states,,,
Alabama,2017,,,,381,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,504,,,,https://afdc.energy.gov/stations/states,,,
Alabama,2018,,,,866,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,504,,,,https://afdc.energy.gov/stations/states,,,
Alabama,2019,,,,,,,,,504,,,,https://afdc.energy.gov/stations/states,,,
Alaska,2016,,,,94,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,34,,,,https://afdc.energy.gov/stations/states,,,
Alaska,2017,,,,85,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,34,,,,https://afdc.energy.gov/stations/states,,,
Alaska,2018,,,,155,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,34,,,,https://afdc.energy.gov/stations/states,,,
Alaska,2019,,,,,,,,,34,,,,https://afdc.energy.gov/stations/states,,,
Arizona,2016,,,,2265,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1502,,,,https://afdc.energy.gov/stations/states,,,
Arizona,2017,,,,2976,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1502,,,,https://afdc.energy.gov/stations/states,,,
Arizona,2018,,,,7086,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1502,,,,https://afdc.energy.gov/stations/states,,,
Arizona,2019,,,,,,,,,1502,,,,https://afdc.energy.gov/stations/states,,,
Arkansas,2016,,,,138,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,291,,,,https://afdc.energy.gov/stations/states,,,
Arkansas,2017,,,,187,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,291,,,,https://afdc.energy.gov/stations/states,,,
Arkansas,2018,,,,435,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,291,,,,https://afdc.energy.gov/stations/states,,,
Arkansas,2019,,,,,,,,,291,,,,https://afdc.energy.gov/stations/states,,,
California,2016,,,,73854,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,27613,,,,https://afdc.energy.gov/stations/states,,,
California,2017,,,,94873,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,27613,,,,https://afdc.energy.gov/stations/states,,,
California,2018,,,,153442,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,27613,,,,https://afdc.energy.gov/stations/states,,,
California,2019,,,,,,,,,27613,,,,https://afdc.energy.gov/stations/states,,,
China,2014,105000,,100000,,IEA 2019,,Li 2019,,30000,9000,,,IEA 2019,IEA 2019,,
China,2015,312000,,200000,,IEA 2019,,Li 2019,,59000,12100,,,IEA 2019,IEA 2019,,
China,2016,649000,,350000,,IEA 2019,,Li 2019,,141000,54900,,,IEA 2019,IEA 2019,,
China,2017,1228000,,600000,,IEA 2019,,Li 2019,,214000,83400,,,IEA 2019,IEA 2019,,
